"product_type","year","month","export_value"
"Live animals","2018","january",46.567
"Live animals","2018","february",48.184
"Live animals","2018","march",54.481
"Live animals","2018","april",57.194
"Live animals","2018","may",57.875
"Live animals","2018","june",45.701
"Live animals","2018","july",55.266
"Live animals","2018","august",59.258
"Live animals","2018","september",71.943
"Live animals","2018","october",180.938
"Live animals","2018","november",92.495
"Live animals","2018","december",89.303
"Red meats & products","2018","january",1209.473
"Red meats & products","2018","february",1189.289
"Red meats & products","2018","march",1343.608
"Red meats & products","2018","april",1304.755
"Red meats & products","2018","may",1326.274
"Red meats & products","2018","june",1273.802
"Red meats & products","2018","july",1234.735
"Red meats & products","2018","august",1287.643
"Red meats & products","2018","september",1198.194
"Red meats & products","2018","october",1306.472
"Red meats & products","2018","november",1296.647
"Red meats & products","2018","december",1275.043
"Poultry meats & products","2018","january",391.742
"Poultry meats & products","2018","february",391.017
"Poultry meats & products","2018","march",440.04
"Poultry meats & products","2018","april",445.212
"Poultry meats & products","2018","may",413.097
"Poultry meats & products","2018","june",400.082
"Poultry meats & products","2018","july",409.225
"Poultry meats & products","2018","august",427.799
"Poultry meats & products","2018","september",389.569
"Poultry meats & products","2018","october",442.683
"Poultry meats & products","2018","november",409.283
"Poultry meats & products","2018","december",360.72
"Dairy products","2018","january",416.425
"Dairy products","2018","february",454.037
"Dairy products","2018","march",517.209
"Dairy products","2018","april",524.541
"Dairy products","2018","may",512.028
"Dairy products","2018","june",480.277
"Dairy products","2018","july",434.674
"Dairy products","2018","august",479.412
"Dairy products","2018","september",437.232
"Dairy products","2018","october",459.869
"Dairy products","2018","november",441.282
"Dairy products","2018","december",426.779
"Hides & skins","2018","january",137.301
"Hides & skins","2018","february",153.994
"Hides & skins","2018","march",154.944
"Hides & skins","2018","april",137.487
"Hides & skins","2018","may",146.421
"Hides & skins","2018","june",133.332
"Hides & skins","2018","july",101.725
"Hides & skins","2018","august",102.305
"Hides & skins","2018","september",98.648
"Hides & skins","2018","october",96.252
"Hides & skins","2018","november",106.699
"Hides & skins","2018","december",89.21
"Grains & feeds","2018","january",2225.708
"Grains & feeds","2018","february",2190.257
"Grains & feeds","2018","march",3063.228
"Grains & feeds","2018","april",3166.197
"Grains & feeds","2018","may",3134.694
"Grains & feeds","2018","june",2923.417
"Grains & feeds","2018","july",2889.773
"Grains & feeds","2018","august",2892.775
"Grains & feeds","2018","september",2581.519
"Grains & feeds","2018","october",2701.764
"Grains & feeds","2018","november",2634.12
"Grains & feeds","2018","december",2549.02
"Wheat","2018","january",424
"Wheat","2018","february",325.878
"Wheat","2018","march",491.711
"Wheat","2018","april",475.705
"Wheat","2018","may",441.981
"Wheat","2018","june",384.419
"Wheat","2018","july",436
"Wheat","2018","august",501.29
"Wheat","2018","september",456.124
"Wheat","2018","october",472.869
"Wheat","2018","november",410.728
"Wheat","2018","december",547.911
"Rice","2018","january",135.264
