"product_type","year","month","import_value"
"Live animals","2018","january",205.593
"Live animals","2018","february",195.862
"Live animals","2018","march",241.44
"Live animals","2018","april",228.585
"Live animals","2018","may",205.668
"Live animals","2018","june",187.033
"Live animals","2018","july",176.778
"Live animals","2018","august",165.661
"Live animals","2018","september",193.721
"Live animals","2018","october",247.204
"Live animals","2018","november",265.895
"Live animals","2018","december",259.1
"Red meats & products","2018","january",732.671
"Red meats & products","2018","february",658.215
"Red meats & products","2018","march",763.397
"Red meats & products","2018","april",708.737
"Red meats & products","2018","may",800.19
"Red meats & products","2018","june",795.642
"Red meats & products","2018","july",822.463
"Red meats & products","2018","august",749.729
"Red meats & products","2018","september",663.5
"Red meats & products","2018","october",685.261
"Red meats & products","2018","november",678.341
"Red meats & products","2018","december",654.482
"Beef & veal","2018","january",465.098
"Beef & veal","2018","february",407.248
"Beef & veal","2018","march",482.37
"Beef & veal","2018","april",446.08
"Beef & veal","2018","may",531.554
"Beef & veal","2018","june",543.089
"Beef & veal","2018","july",538.168
"Beef & veal","2018","august",501.216
"Beef & veal","2018","september",439.795
"Beef & veal","2018","october",443.945
"Beef & veal","2018","november",420.021
"Beef & veal","2018","december",399.414
"Pork","2018","january",139.461
"Pork","2018","february",141.465
"Pork","2018","march",142.414
"Pork","2018","april",143.871
"Pork","2018","may",136.649
"Pork","2018","june",126.65
"Pork","2018","july",136.674
"Pork","2018","august",126.474
"Pork","2018","september",120.458
"Pork","2018","october",134.768
"Pork","2018","november",129.139
"Pork","2018","december",123.488
"Dairy products","2018","january",239.668
"Dairy products","2018","february",228.987
"Dairy products","2018","march",244.754
"Dairy products","2018","april",239.06
"Dairy products","2018","may",263.681
"Dairy products","2018","june",234.313
"Dairy products","2018","july",262.859
"Dairy products","2018","august",227.239
"Dairy products","2018","september",220.274
"Dairy products","2018","october",276.412
"Dairy products","2018","november",251.257
"Dairy products","2018","december",257.223
"Cheese","2018","january",97.8
"Cheese","2018","february",90.162
"Cheese","2018","march",94.741
"Cheese","2018","april",103.607
"Cheese","2018","may",108.182
"Cheese","2018","june",95.358
"Cheese","2018","july",105.667
"Cheese","2018","august",104.227
"Cheese","2018","september",105.522
"Cheese","2018","october",140.254
"Cheese","2018","november",120.395
"Cheese","2018","december",113.109
"Grains & feeds","2018","january",1058.346
"Grains & feeds","2018","february",970.516
"Grains & feeds","2018","march",1086.297
"Grains & feeds","2018","april",1115.365
"Grains & feeds","2018","may",1131.217
"Grains & feeds","2018","june",1105.849
"Grains & feeds","2018","july",1153.247
"Grains & feeds","2018","august",1202.561
"Grains & feeds","2018","september",1162.545
"Grains & feeds","2018","october",1323.821
"Grains & feeds","2018","november",1183.915
"Grains & feeds","2018","december",1167.509
"Grain products","2018","january",698.04
"Grain products","2018","february",654.373
"Grain products","2018","march",723.153
"Grain products","2018","april",726.401
"Grain products","2018","may",756.339
"Grain products","2018","june",739.299
"Grain products","2018","july",758.415
"Grain products","2018","august",820.648
"Grain products","2018","september",825.149
"Grain products","2018","october",964.37
"Grain products","2018","november",861.82
"Grain products","2018","december",783.83
"Oilseeds & products","2018","january",912.432
"Oilseeds & products","2018","february",780.715
"Oilseeds & products","2018","march",870.091
"Oilseeds & products","2018","april",852.857
"Oilseeds & products","2018","may",812.391
"Oilseeds & products","2018","june",726.182
"Oilseeds & products","2018","july",779.079
"Oilseeds & products","2018","august",728.707
"Oilseeds & products","2018","september",628.522
"Oilseeds & products","2018","october",724.824
"Oilseeds & products","2018","november",680.074
"Oilseeds & products","2018","december",745.688
"Vegetable oils","2018","january",718.945
"Vegetable oils","2018","february",631.443
"Vegetable oils","2018","march",657.463
"Vegetable oils","2018","april",640.07
"Vegetable oils","2018","may",623.019
"Vegetable oils","2018","june",530.468
"Vegetable oils","2018","july",584.547
"Vegetable oils","2018","august",574.867
"Vegetable oils","2018","september",490.224
"Vegetable oils","2018","october",576.538
"Vegetable oils","2018","november",500.848
"Vegetable oils","2018","december",560.981
"Fruits & preparations","2018","january",1787.326
"Fruits & preparations","2018","february",1659.074
"Fruits & preparations","2018","march",1763.643
"Fruits & preparations","2018","april",1624.787
"Fruits & preparations","2018","may",1542.592
"Fruits & preparations","2018","june",1354.542
"Fruits & preparations","2018","july",1220.81
"Fruits & preparations","2018","august",1289.171
"Fruits & preparations","2018","september",1062.286
