"product_type","year","month","import_volume"
"Wine 4/","2018","january",96.7029
"Wine 4/","2018","february",99.9516
"Wine 4/","2018","march",116.1774
"Wine 4/","2018","april",109.4439
"Wine 4/","2018","may",99.5456
"Wine 4/","2018","june",85.5065
"Wine 4/","2018","july",98.8232
"Wine 4/","2018","august",100.6661
"Wine 4/","2018","september",86.3015
"Wine 4/","2018","october",106.8183
"Wine 4/","2018","november",106.2883
"Wine 4/","2018","december",92.6216
"Malt beverages 4/","2018","january",331.6908
"Malt beverages 4/","2018","february",307.1104
"Malt beverages 4/","2018","march",354.5349
"Malt beverages 4/","2018","april",376.0353
"Malt beverages 4/","2018","may",407.9506
"Malt beverages 4/","2018","june",373.5032
"Malt beverages 4/","2018","july",394.3925
"Malt beverages 4/","2018","august",379.3727
"Malt beverages 4/","2018","september",329.2464
"Malt beverages 4/","2018","october",331.2321
"Malt beverages 4/","2018","november",299.1445
"Malt beverages 4/","2018","december",300.5433
"Cattle & calves","2018","january",114.278
"Cattle & calves","2018","february",153.951
"Cattle & calves","2018","march",199.078
"Cattle & calves","2018","april",172.772
"Cattle & calves","2018","may",169.813
"Cattle & calves","2018","june",154.685
"Cattle & calves","2018","july",126.622
"Cattle & calves","2018","august",119.865
"Cattle & calves","2018","september",117.718
"Cattle & calves","2018","october",167.968
"Cattle & calves","2018","november",208.127
"Cattle & calves","2018","december",194.636
"Beef & veal","2018","january",84.4506
"Beef & veal","2018","february",74.7957
"Beef & veal","2018","march",86.0888
"Beef & veal","2018","april",79.5922
"Beef & veal","2018","may",94.3935
"Beef & veal","2018","june",99.0482
"Beef & veal","2018","july",99.7255
"Beef & veal","2018","august",92.3396
"Beef & veal","2018","september",81.2823
"Beef & veal","2018","october",79.7328
"Beef & veal","2018","november",74.1844
"Beef & veal","2018","december",72.1997
"Dairy products","2018","january",22.877559
"Dairy products","2018","february",20.132082
"Dairy products","2018","march",22.032028
"Dairy products","2018","april",23.816328
"Dairy products","2018","may",25.706971
"Dairy products","2018","june",21.937558
"Dairy products","2018","july",28.127558
"Dairy products","2018","august",25.862085
"Dairy products","2018","september",23.608726
"Dairy products","2018","october",29.962264
"Dairy products","2018","november",27.823643
"Dairy products","2018","december",30.386639
"Processed grains, ex. feed","2018","january",260.6165
"Processed grains, ex. feed","2018","february",209.7862
"Processed grains, ex. feed","2018","march",336.528
"Processed grains, ex. feed","2018","april",237.4893
"Processed grains, ex. feed","2018","may",305.9919
"Processed grains, ex. feed","2018","june",283.1585
"Processed grains, ex. feed","2018","july",222.1066
"Processed grains, ex. feed","2018","august",270.1882
"Processed grains, ex. feed","2018","september",295.5314
"Processed grains, ex. feed","2018","october",443.0464
"Processed grains, ex. feed","2018","november",324.5173
"Processed grains, ex. feed","2018","december",368.466
"Fruits, fresh or frozen","2018","january",1142.7934
"Fruits, fresh or frozen","2018","february",1113.5444
"Fruits, fresh or frozen","2018","march",1248.0231
"Fruits, fresh or frozen","2018","april",1272.7076
"Fruits, fresh or frozen","2018","may",1291.3996
"Fruits, fresh or frozen","2018","june",1077.2304
"Fruits, fresh or frozen","2018","july",1038.247
"Fruits, fresh or frozen","2018","august",984.0228
