"product","country","year","month","volume"
"soybeans","China","2018","january",3209633.4
"soybeans","European Union-28 1/","2018","january",563622
"soybeans","Mexico","2018","january",316369.8
"soybeans","Thailand","2018","january",288728.6
"soybeans","Indonesia","2018","january",233352.8
"soybeans","Japan","2018","january",194013
"soybeans","Taiwan","2018","january",144728.5
"soybeans","Pakistan","2018","january",69407
"soybeans","Vietnam","2018","january",91311.3
"soybeans","South Korea","2018","january",121284
"soybeans","World total","2018","january",5762856.8
"soybeans","China","2018","february",2093392.6
"soybeans","European Union-28 1/","2018","february",383257
"soybeans","Mexico","2018","february",184797.7
"soybeans","Thailand","2018","february",77207.3
"soybeans","Japan","2018","february",224052.9
"soybeans","Taiwan","2018","february",151102.1
"soybeans","Indonesia","2018","february",103385.9
"soybeans","Pakistan","2018","february",135595
"soybeans","Egypt","2018","february",297045
"soybeans","South Korea","2018","february",64674
"soybeans","World total","2018","february",4212825
"soybeans","China","2018","march",1044995.4
"soybeans","European Union-28 1/","2018","march",233662
"soybeans","Mexico","2018","march",401526
"soybeans","Japan","2018","march",197923.3
"soybeans","Indonesia","2018","march",285693
"soybeans","Thailand","2018","march",63967.8
"soybeans","Egypt","2018","march",416613
"soybeans","Taiwan","2018","march",172352.2
"soybeans","Pakistan","2018","march",57159
"soybeans","South Korea","2018","march",57341
"soybeans","World total","2018","march",3238567.9
"soybeans","China","2018","april",406575.8
"soybeans","European Union-28 1/","2018","april",272321.1
"soybeans","Mexico","2018","april",280825.6
"soybeans","Japan","2018","april",221193.4
"soybeans","Indonesia","2018","april",204352.2
"soybeans","Egypt","2018","april",233745
"soybeans","Taiwan","2018","april",124365.1
"soybeans","Thailand","2018","april",48425.1
"soybeans","Pakistan","2018","april",0
"soybeans","South Korea","2018","april",10747.5
"soybeans","World total","2018","april",2167366
"soybeans","China","2018","may",533085.2
"soybeans","European Union-28 1/","2018","may",387910
"soybeans","Mexico","2018","may",404528
"soybeans","Egypt","2018","may",295882
"soybeans","Japan","2018","may",179670.4
"soybeans","Indonesia","2018","may",175381
"soybeans","Taiwan","2018","may",163117.4
"soybeans","Thailand","2018","may",45441.7
"soybeans","Pakistan","2018","may",124324
"soybeans","Vietnam","2018","may",178981.2
"soybeans","World total","2018","may",2990794.8
"soybeans","China","2018","june",271411
"soybeans","European Union-28 1/","2018","june",589130
"soybeans","Mexico","2018","june",485267.9
"soybeans","Indonesia","2018","june",276076.3
"soybeans","Egypt","2018","june",155944
"soybeans","Japan","2018","june",180624.1
"soybeans","Taiwan","2018","june",171308.2
"soybeans","Pakistan","2018","june",395679
"soybeans","Thailand","2018","june",70913.2
"soybeans","Vietnam","2018","june",170408
"soybeans","World total","2018","june",3255783.1
"soybeans","China","2018","july",233865
"soybeans","European Union-28 1/","2018","july",643836.7
"soybeans","Mexico","2018","july",401471.2
"soybeans","Egypt","2018","july",410068
"soybeans","Indonesia","2018","july",203133.1
"soybeans","Japan","2018","july",140210.6
"soybeans","Taiwan","2018","july",281984
"soybeans","Pakistan","2018","july",135370
"soybeans","Thailand","2018","july",56080.5
"soybeans","Vietnam","2018","july",108223.3
"soybeans","World total","2018","july",3426605.2
"soybeans","China","2018","august",67852
"soybeans","European Union-28 1/","2018","august",921007
"soybeans","Mexico","2018","august",383315.6
"soybeans","Indonesia","2018","august",316637
"soybeans","Egypt","2018","august",148738
"soybeans","Japan","2018","august",159308.3
"soybeans","Taiwan","2018","august",151469.6
"soybeans","Pakistan","2018","august",137602
"soybeans","Thailand","2018","august",74451.9
"soybeans","Vietnam","2018","august",101225.2
"soybeans","World total","2018","august",3367509.9
"soybeans","China","2018","september",67446
"soybeans","European Union-28 1/","2018","september",704799
"soybeans","Mexico","2018","september",362612
"soybeans","Egypt","2018","september",320792
"soybeans","Indonesia","2018","september",232681.4
"soybeans","Japan","2018","september",142675.8
"soybeans","Taiwan","2018","september",123000.6
"soybeans","Pakistan","2018","september",204715
"soybeans","Thailand","2018","september",61547.6
"soybeans","Vietnam","2018","september",95275.9
"soybeans","World total","2018","september",3237309.4
"soybeans","China","2018","october",271973
"soybeans","European Union-28 1/","2018","october",1368539
"soybeans","Mexico","2018","october",469365.8
"soybeans","Egypt","2018","october",275439
"soybeans","Indonesia","2018","october",162925.8
"soybeans","Japan","2018","october",248579.2
"soybeans","Taiwan","2018","october",270251.6
"soybeans","Pakistan","2018","october",268968
"soybeans","Vietnam","2018","october",289731.3
"soybeans","Thailand","2018","october",295285.8
"soybeans","World total","2018","october",5580145.9
"soybeans","China","2018","november",66000
"soybeans","European Union-28 1/","2018","november",1447275.9
"soybeans","Mexico","2018","november",454397
"soybeans","Egypt","2018","november",282263
"soybeans","Indonesia","2018","november",254507.6
"soybeans","Japan","2018","november",155214.6
"soybeans","Taiwan","2018","november",221625.7
"soybeans","Argentina","2018","november",801000
"soybeans","Pakistan","2018","november",266106
"soybeans","Thailand","2018","november",226846.9
"soybeans","World total","2018","november",5066919.9
"soybeans","European Union-28 1/","2018","december",1224848
"soybeans","China","2018","december",69691.6
