"product","country","year","month","value"
"fruits, fresh or frozen","Mexico","2018","january",603.618
"fruits, fresh or frozen","Chile","2018","january",295.103
"fruits, fresh or frozen","Peru","2018","january",230.46
"fruits, fresh or frozen","Guatemala","2018","january",115.992
"fruits, fresh or frozen","Costa Rica","2018","january",86.922
"fruits, fresh or frozen","Ecuador","2018","january",47.939
"fruits, fresh or frozen","Honduras","2018","january",41.594
"fruits, fresh or frozen","Canada","2018","january",14.287
"fruits, fresh or frozen","Argentina","2018","january",2.399
"fruits, fresh or frozen","Colombia","2018","january",13.862
"fruits, fresh or frozen","World","2018","january",1512.881
"fruits, fresh or frozen","Mexico","2018","february",589.407
"fruits, fresh or frozen","Chile","2018","february",338.647
"fruits, fresh or frozen","Peru","2018","february",124.882
"fruits, fresh or frozen","Guatemala","2018","february",93.004
"fruits, fresh or frozen","Costa Rica","2018","february",83.031
"fruits, fresh or frozen","Ecuador","2018","february",43.868
"fruits, fresh or frozen","Honduras","2018","february",47.544
"fruits, fresh or frozen","Canada","2018","february",13.715
"fruits, fresh or frozen","Argentina","2018","february",10.769
"fruits, fresh or frozen","Colombia","2018","february",17.754
"fruits, fresh or frozen","World","2018","february",1417.354
"fruits, fresh or frozen","Mexico","2018","march",679.3
"fruits, fresh or frozen","Chile","2018","march",373.21
"fruits, fresh or frozen","Guatemala","2018","march",142.749
"fruits, fresh or frozen","Peru","2018","march",42.933
"fruits, fresh or frozen","Costa Rica","2018","march",90.288
"fruits, fresh or frozen","Ecuador","2018","march",36.346
"fruits, fresh or frozen","Honduras","2018","march",35.054
"fruits, fresh or frozen","Canada","2018","march",15.278
"fruits, fresh or frozen","Argentina","2018","march",18.691
"fruits, fresh or frozen","Colombia","2018","march",18.812
"fruits, fresh or frozen","World","2018","march",1502.432
"fruits, fresh or frozen","Mexico","2018","april",711.881
"fruits, fresh or frozen","Chile","2018","april",227.148
"fruits, fresh or frozen","Guatemala","2018","april",128.994
"fruits, fresh or frozen","Peru","2018","april",15.649
"fruits, fresh or frozen","Costa Rica","2018","april",91.983
"fruits, fresh or frozen","Ecuador","2018","april",30.593
"fruits, fresh or frozen","Honduras","2018","april",51.716
"fruits, fresh or frozen","Canada","2018","april",17.251
"fruits, fresh or frozen","Colombia","2018","april",19.798
"fruits, fresh or frozen","Argentina","2018","april",13.578
"fruits, fresh or frozen","World","2018","april",1357.217
"fruits, fresh or frozen","Mexico","2018","may",745.483
"fruits, fresh or frozen","Chile","2018","may",90.067
"fruits, fresh or frozen","Guatemala","2018","may",106.82
"fruits, fresh or frozen","Costa Rica","2018","may",106.002
"fruits, fresh or frozen","Peru","2018","may",18.904
"fruits, fresh or frozen","Ecuador","2018","may",34.11
"fruits, fresh or frozen","Honduras","2018","may",38.167
"fruits, fresh or frozen","Canada","2018","may",18.077
"fruits, fresh or frozen","Colombia","2018","may",21.367
"fruits, fresh or frozen","Argentina","2018","may",16.269
"fruits, fresh or frozen","World","2018","may",1254.863
"fruits, fresh or frozen","Mexico","2018","june",598.08
"fruits, fresh or frozen","Chile","2018","june",83.856
"fruits, fresh or frozen","Guatemala","2018","june",81.201
"fruits, fresh or frozen","Costa Rica","2018","june",103.791
"fruits, fresh or frozen","Peru","2018","june",44.269
"fruits, fresh or frozen","Ecuador","2018","june",30.21
"fruits, fresh or frozen","Honduras","2018","june",21.454
"fruits, fresh or frozen","Canada","2018","june",16.331
"fruits, fresh or frozen","Colombia","2018","june",15.871
"fruits, fresh or frozen","Argentina","2018","june",14.125
"fruits, fresh or frozen","World","2018","june",1081.747
"fruits, fresh or frozen","Mexico","2018","july",291.098
"fruits, fresh or frozen","Chile","2018","july",127.86
"fruits, fresh or frozen","Guatemala","2018","july",85.742
"fruits, fresh or frozen","Costa Rica","2018","july",93.615
"fruits, fresh or frozen","Peru","2018","july",78.18
"fruits, fresh or frozen","Ecuador","2018","july",37.495
"fruits, fresh or frozen","Honduras","2018","july",18.514
"fruits, fresh or frozen","Canada","2018","july",58.269
"fruits, fresh or frozen","Colombia","2018","july",18.288
"fruits, fresh or frozen","Argentina","2018","july",8.036
"fruits, fresh or frozen","World","2018","july",926.512
"fruits, fresh or frozen","Mexico","2018","august",359.461
"fruits, fresh or frozen","Chile","2018","august",122.816
"fruits, fresh or frozen","Guatemala","2018","august",98.02
"fruits, fresh or frozen","Costa Rica","2018","august",69.58
"fruits, fresh or frozen","Peru","2018","august",108.171
"fruits, fresh or frozen","Ecuador","2018","august",33.175
"fruits, fresh or frozen","Honduras","2018","august",16.353
"fruits, fresh or frozen","Canada","2018","august",92.263
"fruits, fresh or frozen","Colombia","2018","august",19.068
"fruits, fresh or frozen","Argentina","2018","august",2.98
"fruits, fresh or frozen","World","2018","august",1000.251
"fruits, fresh or frozen","Mexico","2018","september",292.409
"fruits, fresh or frozen","Chile","2018","september",114.314
"fruits, fresh or frozen","Guatemala","2018","september",88.252
"fruits, fresh or frozen","Costa Rica","2018","september",60.824
"fruits, fresh or frozen","Peru","2018","september",79.331
"fruits, fresh or frozen","Ecuador","2018","september",23.346
"fruits, fresh or frozen","Canada","2018","september",42.302
"fruits, fresh or frozen","Honduras","2018","september",18.092
"fruits, fresh or frozen","Colombia","2018","september",17.182
"fruits, fresh or frozen","Argentina","2018","september",2.751
"fruits, fresh or frozen","World","2018","september",797.379
"fruits, fresh or frozen","Mexico","2018","october",402.369
"fruits, fresh or frozen","Chile","2018","october",109.891
"fruits, fresh or frozen","Guatemala","2018","october",95.657
"fruits, fresh or frozen","Costa Rica","2018","october",82.376
"fruits, fresh or frozen","Peru","2018","october",112.796
"fruits, fresh or frozen","Canada","2018","october",61.351
"fruits, fresh or frozen","Ecuador","2018","october",30.563
"fruits, fresh or frozen","Honduras","2018","october",28.147
"fruits, fresh or frozen","Colombia","2018","october",21.533
"fruits, fresh or frozen","New Zealand","2018","october",9.063
"fruits, fresh or frozen","World","2018","october",1037.198
"fruits, fresh or frozen","Mexico","2018","november",473.593
"fruits, fresh or frozen","Chile","2018","november",34.031
"fruits, fresh or frozen","Guatemala","2018","november",97.092
"fruits, fresh or frozen","Peru","2018","november",93.855
"fruits, fresh or frozen","Costa Rica","2018","november",68.187
"fruits, fresh or frozen","Ecuador","2018","november",46.123
"fruits, fresh or frozen","Canada","2018","november",27.689
"fruits, fresh or frozen","Honduras","2018","november",24.608
"fruits, fresh or frozen","Colombia","2018","november",16.346
"fruits, fresh or frozen","New Zealand","2018","november",3.144
"fruits, fresh or frozen","World","2018","november",958.145
"fruits, fresh or frozen","Mexico","2018","december",485.483
"fruits, fresh or frozen","Chile","2018","december",126.364
"fruits, fresh or frozen","Guatemala","2018","december",112.132
"fruits, fresh or frozen","Peru","2018","december",123.645
"fruits, fresh or frozen","Costa Rica","2018","december",70.937
"fruits, fresh or frozen","Ecuador","2018","december",47.93
"fruits, fresh or frozen","Canada","2018","december",16.02
"fruits, fresh or frozen","Honduras","2018","december",21.67
"fruits, fresh or frozen","Colombia","2018","december",15.935
"fruits, fresh or frozen","Argentina","2018","december",19.317
"fruits, fresh or frozen","World","2018","december",1100.447
"fruits, prepared or preserved","Mexico","2018","january",57.51
"fruits, prepared or preserved","China","2018","january",51.81
"fruits, prepared or preserved","Thailand","2018","january",33.27
"fruits, prepared or preserved","Canada","2018","january",18.927
"fruits, prepared or preserved","European Union-28 3/","2018","january",16.752
"fruits, prepared or preserved","Philippines","2018","january",12.091
"fruits, prepared or preserved","Turkey","2018","january",13.033
"fruits, prepared or preserved","Chile","2018","january",10.067
"fruits, prepared or preserved","South Korea","2018","january",8.788
"fruits, prepared or preserved","Ecuador","2018","january",5.334
"fruits, prepared or preserved","World","2018","january",274.445
"fruits, prepared or preserved","Mexico","2018","february",50.703
"fruits, prepared or preserved","China","2018","february",46.06
"fruits, prepared or preserved","Thailand","2018","february",23.774
"fruits, prepared or preserved","Canada","2018","february",20.64
"fruits, prepared or preserved","European Union-28 3/","2018","february",16.394
"fruits, prepared or preserved","Philippines","2018","february",9.066
"fruits, prepared or preserved","Turkey","2018","february",10.508
"fruits, prepared or preserved","Chile","2018","february",5.846
"fruits, prepared or preserved","South Korea","2018","february",7.903
"fruits, prepared or preserved","Ecuador","2018","february",7.146
"fruits, prepared or preserved","World","2018","february",241.72
"fruits, prepared or preserved","Mexico","2018","march",53.777
"fruits, prepared or preserved","China","2018","march",47.445
"fruits, prepared or preserved","Thailand","2018","march",25.603
"fruits, prepared or preserved","Canada","2018","march",21.141
"fruits, prepared or preserved","European Union-28 3/","2018","march",19.832
"fruits, prepared or preserved","Philippines","2018","march",10.948
"fruits, prepared or preserved","Turkey","2018","march",8.279
"fruits, prepared or preserved","South Korea","2018","march",9.69
"fruits, prepared or preserved","Chile","2018","march",7.048
"fruits, prepared or preserved","Ecuador","2018","march",9.154
"fruits, prepared or preserved","World","2018","march",261.211
"fruits, prepared or preserved","Mexico","2018","april",54.612
"fruits, prepared or preserved","China","2018","april",43.478
"fruits, prepared or preserved","Thailand","2018","april",29.522
"fruits, prepared or preserved","Canada","2018","april",22.378
"fruits, prepared or preserved","European Union-28 3/","2018","april",21.124
"fruits, prepared or preserved","Philippines","2018","april",12.374
"fruits, prepared or preserved","Turkey","2018","april",8.134
"fruits, prepared or preserved","South Korea","2018","april",8.92
"fruits, prepared or preserved","Chile","2018","april",8.035
"fruits, prepared or preserved","Ecuador","2018","april",8.405
"fruits, prepared or preserved","World","2018","april",267.57
"fruits, prepared or preserved","Mexico","2018","may",55.427
"fruits, prepared or preserved","China","2018","may",53.439
"fruits, prepared or preserved","Thailand","2018","may",25.174
"fruits, prepared or preserved","Canada","2018","may",20.211
"fruits, prepared or preserved","European Union-28 3/","2018","may",21.37
"fruits, prepared or preserved","Philippines","2018","may",21.098
"fruits, prepared or preserved","Turkey","2018","may",9.145
"fruits, prepared or preserved","South Korea","2018","may",9.487
"fruits, prepared or preserved","Chile","2018","may",8.651
"fruits, prepared or preserved","Ecuador","2018","may",9.371
"fruits, prepared or preserved","World","2018","may",287.729
"fruits, prepared or preserved","Mexico","2018","june",49.726
"fruits, prepared or preserved","China","2018","june",52.374
"fruits, prepared or preserved","Thailand","2018","june",25.33
"fruits, prepared or preserved","Canada","2018","june",20.083
"fruits, prepared or preserved","European Union-28 3/","2018","june",20.178
"fruits, prepared or preserved","Philippines","2018","june",14.8
"fruits, prepared or preserved","Turkey","2018","june",9.818
"fruits, prepared or preserved","Chile","2018","june",11.453
"fruits, prepared or preserved","South Korea","2018","june",8.261
"fruits, prepared or preserved","Ecuador","2018","june",6.595
"fruits, prepared or preserved","World","2018","june",272.794
"fruits, prepared or preserved","Mexico","2018","july",52.54
"fruits, prepared or preserved","China","2018","july",47.09
"fruits, prepared or preserved","Thailand","2018","july",42.138
"fruits, prepared or preserved","Canada","2018","july",21.819
"fruits, prepared or preserved","European Union-28 3/","2018","july",23.746
"fruits, prepared or preserved","Philippines","2018","july",14.178
"fruits, prepared or preserved","Turkey","2018","july",5.441
"fruits, prepared or preserved","Chile","2018","july",12.514
"fruits, prepared or preserved","South Korea","2018","july",8.197
"fruits, prepared or preserved","Ecuador","2018","july",6.401
"fruits, prepared or preserved","World","2018","july",294.298
"fruits, prepared or preserved","Mexico","2018","august",57.98
"fruits, prepared or preserved","China","2018","august",45.126
"fruits, prepared or preserved","Thailand","2018","august",31.868
"fruits, prepared or preserved","Canada","2018","august",20.43
"fruits, prepared or preserved","European Union-28 3/","2018","august",21.101
"fruits, prepared or preserved","Philippines","2018","august",12.998
"fruits, prepared or preserved","Chile","2018","august",16.924
"fruits, prepared or preserved","Turkey","2018","august",5.813
"fruits, prepared or preserved","South Korea","2018","august",6.959
"fruits, prepared or preserved","Ecuador","2018","august",7.139
"fruits, prepared or preserved","World","2018","august",288.92
"fruits, prepared or preserved","Mexico","2018","september",53.296
"fruits, prepared or preserved","China","2018","september",45.77
"fruits, prepared or preserved","Thailand","2018","september",30.692
"fruits, prepared or preserved","Canada","2018","september",22.409
"fruits, prepared or preserved","European Union-28 3/","2018","september",16.125
"fruits, prepared or preserved","Philippines","2018","september",12.392
"fruits, prepared or preserved","Chile","2018","september",13.592
"fruits, prepared or preserved","Turkey","2018","september",4.779
"fruits, prepared or preserved","South Korea","2018","september",8.055
"fruits, prepared or preserved","Ecuador","2018","september",5.735
"fruits, prepared or preserved","World","2018","september",264.907
"fruits, prepared or preserved","Mexico","2018","october",60.906
"fruits, prepared or preserved","China","2018","october",43.055
"fruits, prepared or preserved","Thailand","2018","october",31.932
"fruits, prepared or preserved","Canada","2018","october",22.81
"fruits, prepared or preserved","European Union-28 3/","2018","october",21.577
"fruits, prepared or preserved","Philippines","2018","october",12.849
"fruits, prepared or preserved","Chile","2018","october",14.656
